INSTRUMENT_ID,INSTRUMENT_TYPE,TRADE_CODE,
5984,Bond,RU000A0JUS37,
5986,Bond,RU000A0JUSJ6,
4158,Corporate bond,RU000A0JS5B5,
4159,Corporate bond,RU000A0JS5A7,
4162,Corporate bond,RU000A0JS5L4,
5047,Bond,,
5048,Bond,,
5049,Bond,,
5050,Bond,,
5053,Bond,,
5054,Bond,,
5055,Bond,,
5056,Bond,,
5057,Bond,,
5058,Bond,,
10719,Bond,RU000A0ZYM54,
11260,Bond,RU000A0ZZFH2,
2872,Unit closed UIF,RU000A0JQUQ5,
2871,Unit closed UIF,RU000A0JQUP7,
9437,Bond,RU000A0JWMM9,
9711,Bond,RU000A0JX108,
9947,Bond,RU000A0JXQJ4,
5855,Bond,RU000A0JV052,
5856,Bond,,
5857,Bond,,
5858,Bond,,
5859,Bond,,
5860,Bond,,
5861,Bond,,
5862,Bond,,
5863,Bond,,
5864,Bond,,
5865,Bond,RU000A0JUMJ9,
5866,Bond,RU000A0JUSH0,
5868,Bond,,
5869,Bond,,
5854,Bond,,
5128,Bond,RU000A0JVH05,
5129,Bond,RU000A0JU0U2,
5130,Bond,,
5131,Bond,,
9762,Corporate bond,RU000A0JXJM3,
9763,Corporate bond,RU000A0JXJP6,
8982,Bond,RU000A0JVVK6,
8983,Bond,RU000A0JVVP5,
8984,Bond,RU000A0JVVT7,
3219,Open unit mutual fund,RU000A0JR2C1,
3220,Open unit mutual fund,RU000A0JR290,
3221,Open unit mutual fund,RU000A0JR2A5,
3218,Open unit mutual fund,RU000A0JR282,
10758,Open unit mutual fund,RU000A0HF0L2,
932,Open unit mutual fund,RU000A0JP799,
11144,Open unit mutual fund,RU000A0JVHY6,
3163,Unit closed UIF,RU000A0JR316,
5549,Unit closed UIF,RU000A0JU9Y5,
5279,Bond,RU000A0JUD42,
6070,Bond,,
6071,Bond,,
6072,Bond,,
6073,Bond,,
1166,Ordinary share,AVAN,
9302,Bond,RU000A0JW7D1,
5177,Bond,,
9123,Bond,,
9124,Bond,,
9125,Bond,,
9126,Bond,,
9322,Corporate bond,RU000A0JWF71,
9186,Bond,RU000A0JW1B8,
9275,Bond,RU000A0JW506,
4982,Bond,,
4983,Bond,RU000A0JVD41,
4984,Bond,,
8985,Bond,RU000A0JVRL2,
6018,Bond,RU000A0JUT85,
9056,Bond,RU000A0JVVL4,
6019,Bond,RU000A0JVM32,
9132,Bond,RU000A0JVXX5,
9436,Bond,RU000A0JWM15,
6141,Bond,RU000A0JV0N6,
6142,Bond,RU000A0JV565,
6143,Bond,RU000A0JV6D4,
6085,Bonds of a foreign issuer,XS0620695204,
6099,Bonds of a foreign issuer,XS0925043100,
3685,Corporate bond,RU000A0JRSW5,
3686,Corporate bond,RU000A0JRSX3,
4450,Corporate bond,RU000A0JSZF3,
4451,Corporate bond,RU000A0JSZG1,
5087,Corporate bond,RU000A0JTXP5,
5088,Corporate bond,RU000A0JTXQ3,
5605,Corporate bond,RU000A0JUCH4,
5607,Corporate bond,RU000A0JUCJ0,
5953,Corporate bond,RU000A0JUPS3,
5954,Corporate bond,RU000A0JUPT1,
8557,Corporate bond,RU000A0JV1E3,
8558,Corporate bond,RU000A0JV1F0,
11032,Bond,RU000A0ZZ6Q2,
11136,Bond,RU000A0ZZBD0,
9605,Bond,,
9606,Bond,,
9607,Bond,,
9608,Bond,,
9609,Bond,,
5323,Bond,,
5326,Bond,,
5327,Bond,,
5328,Bond,,
5330,Bond,,
5331,Bond,,
5332,Bond,,
5333,Bond,,
5334,Bond,,
5335,Bond,,
5336,Bond,,
5337,Bond,,
5338,Bond,,
5339,Bond,,
5340,Bond,,
5341,Bond,,
5343,Bond,,
9629,Bond,RU000A0JWYS1,
5237,Bond,RU000A0JVBX1,
5239,Bond,RU000A0JUGY0,
5240,Bond,,
5831,Bond,RU000A0JUPW5,
5780,Bond,RU000A0JV0P1,
5781,Bond,,
5782,Bond,,
5783,Bond,RU000A0JVHS8,
5784,Bond,,
5785,Bond,RU000A0JV0Q9,
9494,Bonds of a foreign issuer,XS1379311761,
11494,Bonds of a foreign issuer,,
9183,Bonds of a foreign issuer,XS1327118284,
9184,Bonds of a foreign issuer,XS1327117633,
9442,Bonds of a foreign issuer,XS1434175730,
9866,Bonds of a foreign issuer,XS1571345583,
9906,Bonds of a foreign issuer,XS1590566193,
10333,Bonds of a foreign issuer,XS1604405545,
10429,Bonds of a foreign issuer,XS1637911451,
10440,Bonds of a foreign issuer,XS1642546581,
10476,Bonds of a foreign issuer,XS1654213294,
10482,Bonds of a foreign issuer,XS1654229290,
10487,Bonds of a foreign issuer,XS1654237129,
10532,Bonds of a foreign issuer,XS1675776014,
10619,Bonds of a foreign issuer,XS1708325748,
10681,Bonds of a foreign issuer,XS1713519012,
10687,Bonds of a foreign issuer,XS1718466250,
10736,Bonds of a foreign issuer,XS1731601867,
10751,Bonds of a foreign issuer,XS1708322133,
10827,Bonds of a foreign issuer,XS1762858428,
10839,Bonds of a foreign issuer,XS1764143597,
10880,Bonds of a foreign issuer,XS1783223206,
10895,Bonds of a foreign issuer,XS1713519368,
10933,Bonds of a foreign issuer,XS1799164790,
11019,Bonds of a foreign issuer,XS1807420937,
11062,Bonds of a foreign issuer,XS1819608172,
11065,Bonds of a foreign issuer,XS1820831607,
11072,Bonds of a foreign issuer,XS1801889830,
11131,Bonds of a foreign issuer,XS1833629253,
11138,Bonds of a foreign issuer,XS1838071964,
11194,Bonds of a foreign issuer,XS1857100413,
11252,Bonds of a foreign issuer,XS1859436070,
11312,Bonds of a foreign issuer,XS1859436401,
11313,Bonds of a foreign issuer,XS1870376461,
11317,Bonds of a foreign issuer,XS1873963794,
11327,Bonds of a foreign issuer,XS1822383094,
11333,Bonds of a foreign issuer,XS1878009866,
11423,Bonds of a foreign issuer,XS1892856128,
11466,Bonds of a foreign issuer,XS1900962892,
11473,Bonds of a foreign issuer,XS1904686661,
11493,Bonds of a foreign issuer,XS1903464391,
6310,Bonds of a foreign issuer,XS0810596832,
5902,Bond,RU000A0JV441,
6080,Bonds of a foreign issuer,XS0993162683,
9003,Bonds of a foreign issuer,XS0524610812,
9004,Bonds of a foreign issuer,XS0559915961,
9050,Bonds of a foreign issuer,XS0800817073,
9385,Bonds of a foreign issuer,XS1084024584,
6083,Bonds of a foreign issuer,XS0848137708,
9384,Bonds of a foreign issuer,XS1040726587,
9538,Bonds of a foreign issuer,XS0885733153,
6092,Bonds of a foreign issuer,XS0191754729,
6095,Bonds of a foreign issuer,XS0424860947,
6097,Bonds of a foreign issuer,XS0316524130,
9520,Bonds of a foreign issuer,XS0906946008,
5568,Subfederal bond,RU000A0JUAZ0,
5777,Mortgage participation certificate,RU000A0JUHS0,
5104,Bond,,
5102,Bond,,
5103,Bond,,
5105,Bond,,
5106,Bond,,
5107,Bond,RU000A0JUTB1,
11188,Bond,RU000A0ZZQT4,
5111,Bond,,
11402,Bond,RU000A0ZZSP8,
5108,Bond,,
5110,Bond,,
5113,Bond,,
5284,Bond,,
5285,Bond,,
9749,Bond,RU000A0JX2M2,
9060,Bonds of a foreign issuer,XS0830192711,
6093,Bonds of a foreign issuer,XS0997544860,
9503,Bonds of a foreign issuer,XS1405775377,
5745,Corporate bond,RU000A0JUD34,
6140,Mortgage participation certificate,RU000A0JUW49,
3092,Unit closed UIF,RU000A0JR0A9,
8918,Corporate bond,RU000A0JVJY2,
8916,Corporate bond,RU000A0JVHJ7,
4009,Corporate bond,RU000A0JS1A6,
4010,Corporate bond,RU000A0JS1B4,
4604,Corporate bond,RU000A0JTCV7,
4605,Corporate bond,RU000A0JTD52,
5577,Corporate bond,RU000A0JUBT1,
5578,Corporate bond,RU000A0JUC19,
4430,Corporate bond,RU000A0JSKJ7,
5394,Corporate bond,RU000A0JU3J9,
5895,Corporate bond,RU000A0JUJ87,
8841,Corporate bond,RU000A0JV7G5,
8842,Corporate bond,RU000A0JV755,
7061,Corporate bond,RU000A0JV1C7,
7062,Corporate bond,RU000A0JV1B9,
8596,Corporate bond,RU000A0JV326,
8597,Corporate bond,RU000A0JV318,
5779,Corporate bond,RU000A0JUJE6,
8910,Corporate bond,RU000A0JVAJ2,
8911,Corporate bond,RU000A0JVAQ7,
8561,Corporate bond,RU000A0JV1U9,
8562,Corporate bond,RU000A0JV1V7,
5665,Corporate bond,RU000A0JUE66,
5955,Corporate bond,RU000A0JUQ54,
9130,Corporate bond,RU000A0JVU81,
5776,Corporate bond,RU000A0JUHY8,
5224,Corporate bond,RU000A0JTZ98,
8653,Corporate bond,RU000A0JV664,
5968,Corporate bond,RU000A0JUPU9,
5951,Corporate bond,RU000A0JUPF0,
8646,Corporate bond,RU000A0JV508,
8614,Corporate bond,RU000A0JV3S9,
7067,Corporate bond,RU000A0JV169,
7068,Corporate bond,RU000A0JV185,
9729,Bond,RU000A0JX2L4,
3217,Unit closed UIF,RU000A0JR555,
4607,Bond,,
4608,Bond,,
4609,Bond,,
8909,Corporate bond,RU000A0JVB35,
9250,Corporate bond,RU000A0JVTM6,
9399,Corporate bond,RU000A0JWF30,
5616,Corporate bond,RU000A0JUCX1,
6175,Corporate bond,RU000A0JUZU8,
3178,Unit closed UIF,RU000A0JR3N6,
5928,Unit closed UIF,RU000A0JUN16,
11280,Unit closed UIF,RU000A0ZZ422,
3559,Unit closed UIF,RU000A0JRL54,
11470,Bond,RU000A0ZZV52,
3755,Unit closed UIF,RU000A0JRSS3,
3757,Unit closed UIF,RU000A0JRST1,
3758,Unit closed UIF,RU000A0JRXV7,
4850,Unit closed UIF,RU000A0JTPA3,
1027,Unit closed UIF,RU000A0JPCF8,
1087,Unit closed UIF,RU000A0JPJ35,
5947,Unit closed UIF,RU000A0JUKK1,
243,Ordinary share,IRGZ,
3214,Bond,,
5996,Bond,RU000A0JUTQ9,
5997,Bond,RU000A0JUTR7,
5998,Bond,RU000A0JXLX6,
9319,Bond,RU000A0JWWR7,
9318,Bond,RU000A0JWU64,
9317,Bond,RU000A0JX2K6,
9316,Bond,RU000A0JXSE1,
3918,Ordinary share,KZOS,
3977,preferred shares,KZOSP,
3312,Bond,,
5170,Bond,,
5171,Bond,,
4045,Bond,RU000A0JVA77,
3006,Bond,,
4965,Bond,,
4967,Bond,,
4968,Bond,,
1687,Ordinary share,LNZL,
2439,preferred shares,LNZLP,
10475,Bonds of a foreign issuer,XS1589324075,
9062,Bonds of a foreign issuer,XS1298447019,
5475,Bond,,
5476,Bond,,
5477,Bond,,
10338,Bond,RU000A0JXT58,
5871,Bonds of a foreign issuer,RU000A0JUG56,
7057,Bonds of a foreign issuer,RU000A0JUG80,
7058,Bonds of a foreign issuer,RU000A0JUG98,
8844,Bonds of a foreign issuer,RU000A0JUG72,
4021,Corporate bond,RU000A0JS1F5,
4237,Corporate bond,RU000A0JS793,
4224,Corporate bond,RU000A0JS710,
9057,Subfederal bond,RU000A0JVV49,
9204,Corporate bond,RU000A0JW2T8,
9542,Bond,RU000A0JWWG0,
6091,Bonds of a foreign issuer,XS0864383723,
10261,Bonds of a foreign issuer,XS1503160571,
10396,Corporate bond,RU000A0JXU89,
1595,Corporate bond,RU000A0JPYA3,
10750,Bond,RU000A0ZYXM8,
9913,Corporate bond,RU000A0JXQQ9,
9269,Corporate bond,RU000A0JWA92,
4243,Corporate bond,RU000A0JSL87,
4613,Bond,RU000A0JTEM2,
9192,Corporate bond,RU000A0JW118,
5769,Mortgage participation certificate,RU000A0JUGA0,
5795,Corporate bond,RU000A0JUJW8,
8784,Bond,RU000A0JVBF8,
9417,Bond,RU000A0JWL32,
3528,Unit closed UIF,RU000A0JRHC0,
5774,Corporate bond,RU000A0JUHV4,
9871,Corporate bond,RU000A0JXM22,
10883,Corporate bond,RU000A0ZYJ26,
10924,Bond,RU000A0ZZ0R3,
11434,Bond,RU000A0ZZV03,
10760,Bond,RU000A0ZYVY7,
9974,Unit closed UIF,RU000A0JXP78,
10737,Bond,RU000A0ZYM21,
9118,Corporate bond,RU000A0JVZB6,
10431,Bond,RU000A0JXVG0,
10931,Bond,RU000A0ZZ2A5,
10821,Bond,RU000A0ZYU54,
11322,Bond,RU000A0ZZNL8,
11436,Bond,RU000A0ZZS73,
11278,Bond,RU000A0ZZKW1,
8833,Corporate bond,RU000A0JVCL4,
9011,Bond,RU000A0JVW55,
9012,Bond,RU000A0JVX62,
9163,Bond,RU000A0JW8X7,
9166,Bond,RU000A0JWCP3,
9167,Bond,RU000A0JWCU3,
9168,Bond,RU000A0JWD65,
9169,Bond,RU000A0JWD73,
10599,Bond,RU000A0ZYE96,
10866,Bond,RU000A0ZZ0D3,
11407,Bond,RU000A0ZZR90,
11046,Bond,RU000A0ZZ7R8,
10761,Bond,RU000A0ZYSS5,
6105,Corporate bond,RU000A0JURT7,
11319,Corporate bond,RU000A0ZYPB7,
11103,Bond,RU000A0ZZNM6,
5767,Bond,RU000A0JUL18,
9418,Corporate bond,RU000A0JWKQ4,
9419,Corporate bond,RU000A0JWKP6,
9321,Corporate bond,RU000A0JV2B7,
8902,Corporate bond,RU000A0JVFN3,
8589,Corporate bond,RU000A0JV2K8,
8590,Corporate bond,RU000A0JV2L6,
9330,Corporate bond,RU000A0JWC25,
8944,Corporate bond,RU000A0JVNC0,
9153,Bond,RU000A0JWEK0,
9154,Bond,RU000A0JXTH2,
9015,Corporate bond,RU000A0JWJQ6,
9022,Corporate bond,RU000A0JVT43,
9074,Bond,RU000A0JVZA8,
11165,Bond,RU000A0ZZCX6,
11153,Bond,RU000A0ZZCV0,
5265,Bond,,
5266,Bond,,
5268,Bond,,
5269,Bond,,
5271,Bond,,
5272,Bond,,
8556,Corporate bond,RU000A0JV2E1,
11254,Bond,RU000A0ZZFP5,
11104,Bond,RU000A0ZZAR2,
11166,Bond,RU000A0ZZDQ8,
11459,Bond,RU000A0ZZUR0,
3595,Corporate bond,RU000A0JRPK6,
8826,Corporate bond,RU000A0JVE40,
9378,Corporate bond,RU000A0JWAT9,
2451,Corporate bond,RU000A0JQ5C5,
6195,Corporate bond,RU000A0JUZN3,
5250,Bond,,
9943,Bond,RU000A0JXQH8,
5252,Bond,,
5253,Bond,,
5255,Bond,RU000A0JVD17,
5256,Bond,RU000A0JWCK4,
9945,Bond,RU000A0JXQM8,
9983,Bond,RU000A0JXRL8,
10049,Bond,RU000A0JXSR3,
10477,Bond,RU000A0JXY10,
10478,Bond,RU000A0JXY28,
5018,Bond,RU000A0JXVY3,
5019,Bond,,
5020,Bond,,
9292,Bond,RU000A0JWB83,
9293,Bond,RU000A0JX8E6,
9294,Bond,,
3337,Unit closed UIF,RU000A0JR7Y4,
4914,Unit closed UIF,RU000A0JTQH6,
3333,Unit closed UIF,RU000A0JR7V0,
3338,Unit closed UIF,RU000A0JR7W8,
4959,Bond,RU000A0JTV50,
4960,Bond,,
4961,Bond,,
6160,Unit Interval UIF,RU000A0JUR61,
9550,Corporate bond,RU000A0JWTJ0,
10345,Bond,RU000A0ZY9T1,
10709,Bond,,
11044,Bond,RU000A0ZZ8A2,
11069,Bond,RU000A0ZZAT8,
5296,Corporate bond,RU000A0JU179,
6217,Bond,RU000A0JVYD5,
6218,Bond,RU000A0JW4F3,
6106,Corporate bond,RU000A0JURQ3,
6212,Bond,RU000A0JV0G0,
6107,Corporate bond,RU000A0JURP5,
9416,Corporate bond,RU000A0JWWX5,
4631,Unit closed UIF,RU000A0JT510,
6123,Bond,RU000A0JWWJ4,
6124,Bond,RU000A0JWWH8,
6125,Bond,,
6126,Bond,,
9300,Bond,,
4299,Unit closed UIF,RU000A0JS991,
8930,Unit closed UIF,RU000A0JVGP6,
6064,Corporate bond,RU000A0JUUB9,
9170,Bond,RU000A0JW2R2,
9171,Bond,RU000A0JWE72,
9172,Bond,RU000A0JWEP9,
9173,Bond,RU000A0JWES3,
9174,Bond,RU000A0JWG88,
5384,Bond,RU000A0JU6M6,
5385,Bond,RU000A0JWPF6,
5386,Bond,RU000A0JVUS1,
5387,Bond,RU000A0JVXS5,
5388,Bond,RU000A0JWVT5,
4946,Bond,,
4947,Bond,,
4948,Bond,,
4949,Bond,,
5433,Bond,RU000A0ZYA74,
9254,Bond,RU000A0ZYLB6,
9255,Bond,,
9256,Bond,RU000A0JWQX7,
9257,Bond,RU000A0JXN13,
9258,Bond,,
9259,Bond,,
9260,Bond,RU000A0JWLJ7,
9253,Bond,,
10565,Bond,,
11008,Bond,RU000A0ZZ695,
5660,Corporate bond,RU000A0JUDW1,
11070,Bond,RU000A0ZZ9X2,
11488,Bond,,
6038,Corporate bond,RU000A0JUT69,
9515,Bond,RU000A0JWPZ4,
9853,Bond,RU000A0JXLE6,
4937,Bond,,
4938,Bond,,
4944,Bond,RU000A0JW5J2,
4945,Bond,,
9403,Corporate bond,RU000A0JWKY8,
9404,Corporate bond,RU000A0JXMB0,
9405,Corporate bond,RU000A0JXPT5,
10334,Bond,RU000A0ZYZS0,
10335,Bond,RU000A0ZYB81,
10336,Bond,RU000A0ZYL30,
10613,Bond,,
10614,Bond,RU000A0ZYLR2,
10615,Bond,,
10605,Corporate bond,,
11015,Bond,RU000A0ZZNV7,
9701,Corporate bond,RU000A0JXFC2,
9181,Corporate bond,RU000A0JW8G2,
2965,Corporate bond,RU000A0JQXR7,
5357,Corporate bond,RU000A0JU336,
8979,Corporate bond,RU000A0JVQX9,
8980,Corporate bond,RU000A0JVQY7,
9276,Bond,,
9610,Bond,RU000A0JWWW7,
9277,Bond,,
11265,Bond,RU000A0ZZG93,
9278,Bond,,
9279,Bond,,
9280,Bond,,
9281,Bond,,
9282,Bond,,
9283,Bond,,
9284,Bond,,
9285,Bond,,
9286,Bond,,
9287,Bond,,
10434,Bond,RU000A0JXVE5,
3710,Corporate bond,RU000A0JRU20,
3711,Corporate bond,RU000A0JRU46,
10829,Bond,,
11331,Bond,,
8791,Corporate bond,RU000A0JVED7,
11147,Bond,RU000A0ZZEA0,
11320,Bond,RU000A0ZZMQ9,
9848,Corporate bond,RU000A0JXLU2,
11455,Corporate bond,,
10682,Corporate bond,RU000A0ZYMF5,
11490,Corporate bond,,
5993,Corporate bond,RU000A0JUQW3,
6128,Bond,RU000A0JV334,
8921,Unit closed UIF,RU000A0JVJA2,
8756,Unit closed UIF,RU000A0JUTH8,
3702,Unit closed UIF,RU000A0JRTR3,
5526,Unit closed UIF,RU000A0JU971,
9121,Unit Interval UIF,RU000A0JVUA9,
8827,Corporate bond,RU000A0JVE57,
10922,Corporate bond,RU000A0ZZ4Z8,
11143,Corporate bond,RU000A0ZZC22,
5793,Bond,RU000A0JULR4,
11461,Bond,RU000A0ZZTK7,
8809,Corporate bond,RU000A0JVC42,
2868,Unit closed UIF,RU000A0JQUE1,
10402,Bond,RU000A0JXY85,
10927,Bond,RU000A0ZZ141,
10928,Bond,RU000A0ZZ158,
5969,Mortgage participation certificate,RU000A0JUP71,
5016,Unit closed UIF,RU000A0JTVY1,
11325,Share Exchange Funds,AKNX,
11392,Unit Interval UIF,RU000A0ZZCD8,
11261,Unit closed UIF,RU000A0JVKZ7,
3400,Unit closed UIF,RU000A0JRBT7,
8919,Mortgage participation certificate,RU000A0JVEZ0,
8914,Unit closed UIF,RU000A0JUZ61,
2910,Unit Interval UIF,RU000A0JNK00,
2911,Unit Interval UIF,RU000A0JNK34,
876,Unit Interval UIF,RU000A0JP4U1,
1156,Unit closed UIF,RU000A0JPNS8,
5137,Mortgage participation certificate,RU000A0JTXM2,
1529,Unit closed UIF,RU000A0JPY69,
738,Unit closed UIF,RU000A0JNUM1,
9421,Unit closed UIF,RU000A0JWJA0,
1516,Unit closed UIF,RU000A0JPWL4,
2857,Unit closed UIF,RU000A0JQT81,
1121,Open unit mutual fund,RU000A0JPKJ3,
1099,Unit closed UIF,RU000A0JPJR8,
9785,Open unit mutual fund,RU000A0JX1H4,
4370,Unit closed UIF,RU000A0JSGF3,
5532,Unit closed UIF,RU000A0JU0G1,
10538,Open unit mutual fund,RU000A0JURB5,
3334,Unit closed UIF,RU000A0JR7Z1,
3335,Unit closed UIF,RU000A0JR811,
3336,Unit closed UIF,RU000A0JR7X6,
1068,Unit closed UIF,RU000A0JPGC6,
865,Unit closed UIF,RU000A0JP450,
8913,Unit closed UIF,RU000A0JVGM3,
10834,Bond,RU000A0ZYSE5,
9071,Corporate bond,RU000A0JVXW7,
9193,Corporate bond,RU000A0JVZF7,
9194,Corporate bond,RU000A0JVZG5,
8701,Corporate bond,RU000A0JVE65,
4315,Corporate bond,RU000A0JTD37,
5661,Corporate bond,RU000A0JUDX9,
9766,Bond,RU000A0JX3X7,
11469,Bond,RU000A0ZZUZ3,
3282,Bond,,
3283,Bond,,
3284,Bond,,
3285,Bond,,
1756,Corporate bond,RU000A0JPZF9,
9993,Corporate bond,,
5226,Corporate bond,RU000A0JTZG9,
5420,Bond,,
5421,Bond,,
5422,Bond,,
10913,Bond,RU000A0ZZ0L6,
5541,Bond,,
5542,Bond,RU000A0JUN08,
5543,Bond,RU000A0JWC66,
8708,Bond,RU000A0JVBW3,
9389,Corporate bond,RU000A0JWKL5,
10836,Bond,RU000A0ZZ2V1,
11262,Bond,,
8605,Bond,RU000A0JXW87,
10868,Bond,RU000A0ZZ0Q5,
5172,Bond,RU000A0JU8S9,
9920,Bond,RU000A0JXPH0,
5173,Bond,,
5174,Bond,,
10533,Bond,RU000A0ZYAQ7,
